日期,阳性感染者,确诊病例,无症状感染者,轻型,普通型,重型,危重型,死亡,治愈出院,解除医学观察,尚在医学观察,本土阳性感染者,本土确诊病例,本土无症状感染者,从闭环隔离中发现的阳性感染者,从风险人群中发现的阳性感染者,从无症状感染者转归确诊的病例,从闭环隔离中发现的本土病例,从风险人群中发现的本土病例,从闭环隔离中发现的无症状感染者,从风险人群中发现的无症状感染者,本土病例出院,本土解除医学观察,本土死亡病例,本土尚在医学观察,境外输入阳性感染者,境外输入病例,境外输入无症状感染者,境外输入病例出院,境外输入解除医学观察,境外输入死亡,境外输入尚在医学观察,当前重症病例,当前危重症病例,当前在院治疗,当前本土在院治疗,当前境外输入在院治疗,累计本土阳性感染者,累计本土确诊,累计治愈出院,累计本土死亡,累计境外输入确诊病例,累计境外输入治愈出院,浦东新区_阳性,徐汇区_阳性,闵行区_阳性,黄浦区_阳性,嘉定区_阳性,松江区_阳性,虹口区_阳性,长宁区_阳性,青浦区_阳性,静安区_阳性,宝山区_阳性,杨浦区_阳性,普陀区_阳性,崇明区_阳性,金山区_阳性,奉贤区_阳性,浦东新区_阳性_来自闭环隔离,徐汇区_阳性_来自闭环隔离,闵行区_阳性_来自闭环隔离,黄浦区_阳性_来自闭环隔离,嘉定区_阳性_来自闭环隔离,松江区_阳性_来自闭环隔离,虹口区_阳性_来自闭环隔离,长宁区_阳性_来自闭环隔离,青浦区_阳性_来自闭环隔离,静安区_阳性_来自闭环隔离,宝山区_阳性_来自闭环隔离,杨浦区_阳性_来自闭环隔离,普陀区_阳性_来自闭环隔离,崇明区_阳性_来自闭环隔离,金山区_阳性_来自闭环隔离,奉贤区_阳性_来自闭环隔离,浦东新区_阳性_来自风险人群,徐汇区_阳性_来自风险人群,闵行区_阳性_来自风险人群,黄浦区_阳性_来自风险人群,嘉定区_阳性_来自风险人群,松江区_阳性_来自风险人群,虹口区_阳性_来自风险人群,长宁区_阳性_来自风险人群,青浦区_阳性_来自风险人群,静安区_阳性_来自风险人群,宝山区_阳性_来自风险人群,杨浦区_阳性_来自风险人群,普陀区_阳性_来自风险人群,崇明区_阳性_来自风险人群,金山区_阳性_来自风险人群,奉贤区_阳性_来自风险人群,浦东新区_确诊,徐汇区_确诊,闵行区_确诊,黄浦区_确诊,嘉定区_确诊,松江区_确诊,虹口区_确诊,长宁区_确诊,青浦区_确诊,静安区_确诊,宝山区_确诊,杨浦区_确诊,普陀区_确诊,崇明区_确诊,金山区_确诊,奉贤区_确诊,浦东新区_确诊_来自闭环隔离,徐汇区_确诊_来自闭环隔离,闵行区_确诊_来自闭环隔离,黄浦区_确诊_来自闭环隔离,嘉定区_确诊_来自闭环隔离,松江区_确诊_来自闭环隔离,虹口区_确诊_来自闭环隔离,长宁区_确诊_来自闭环隔离,青浦区_确诊_来自闭环隔离,静安区_确诊_来自闭环隔离,宝山区_确诊_来自闭环隔离,杨浦区_确诊_来自闭环隔离,普陀区_确诊_来自闭环隔离,崇明区_确诊_来自闭环隔离,金山区_确诊_来自闭环隔离,奉贤区_确诊_来自闭环隔离,浦东新区_确诊_来自无症状感染者,徐汇区_确诊_来自无症状感染者,闵行区_确诊_来自无症状感染者,黄浦区_确诊_来自无症状感染者,嘉定区_确诊_来自无症状感染者,松江区_确诊_来自无症状感染者,虹口区_确诊_来自无症状感染者,长宁区_确诊_来自无症状感染者,青浦区_确诊_来自无症状感染者,静安区_确诊_来自无症状感染者,宝山区_确诊_来自无症状感染者,杨浦区_确诊_来自无症状感染者,普陀区_确诊_来自无症状感染者,崇明区_确诊_来自无症状感染者,金山区_确诊_来自无症状感染者,奉贤区_确诊_来自无症状感染者,浦东新区_确诊_来自风险人群,徐汇区_确诊_来自风险人群,闵行区_确诊_来自风险人群,黄浦区_确诊_来自风险人群,嘉定区_确诊_来自风险人群,松江区_确诊_来自风险人群,虹口区_确诊_来自风险人群,长宁区_确诊_来自风险人群,青浦区_确诊_来自风险人群,静安区_确诊_来自风险人群,宝山区_确诊_来自风险人群,杨浦区_确诊_来自风险人群,普陀区_确诊_来自风险人群,崇明区_确诊_来自风险人群,金山区_确诊_来自风险人群,奉贤区_确诊_来自风险人群,浦东新区_无症状,徐汇区_无症状,闵行区_无症状,黄浦区_无症状,嘉定区_无症状,松江区_无症状,虹口区_无症状,长宁区_无症状,青浦区_无症状,静安区_无症状,宝山区_无症状,杨浦区_无症状,普陀区_无症状,崇明区_无症状,金山区_无症状,奉贤区_无症状,浦东新区_无症状_来自闭环隔离,徐汇区_无症状_来自闭环隔离,闵行区_无症状_来自闭环隔离,黄浦区_无症状_来自闭环隔离,嘉定区_无症状_来自闭环隔离,松江区_无症状_来自闭环隔离,虹口区_无症状_来自闭环隔离,长宁区_无症状_来自闭环隔离,青浦区_无症状_来自闭环隔离,静安区_无症状_来自闭环隔离,宝山区_无症状_来自闭环隔离,杨浦区_无症状_来自闭环隔离,普陀区_无症状_来自闭环隔离,崇明区_无症状_来自闭环隔离,金山区_无症状_来自闭环隔离,奉贤区_无症状_来自闭环隔离,浦东新区_无症状_来自风险人群,徐汇区_无症状_来自风险人群,闵行区_无症状_来自风险人群,黄浦区_无症状_来自风险人群,嘉定区_无症状_来自风险人群,松江区_无症状_来自风险人群,虹口区_无症状_来自风险人群,长宁区_无症状_来自风险人群,青浦区_无症状_来自风险人群,静安区_无症状_来自风险人群,宝山区_无症状_来自风险人群,杨浦区_无症状_来自风险人群,普陀区_无症状_来自风险人群,崇明区_无症状_来自风险人群,金山区_无症状_来自风险人群,奉贤区_无症状_来自风险人群,来源
2022-05-11,1450,144,1306,0,0,0,0,5,433,5511,0,1449,144,1305,0,0,106,38,0,1303,2,432,5509,5,0,1,0,1,1,2,0,0,349,61,5347,5333,14,0,56527,50629,565,4595,4581,250,74,91,246,90,14,102,40,37,170,129,165,29,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,3,19,18,4,18,1,3,12,11,34,2,0,0,0,9,0,0,1,1,3,13,0,1,3,7,0,0,0,0,0,1,9,3,18,17,1,5,1,2,9,4,34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,65,88,227,72,10,84,39,34,158,118,131,27,4,3,5,240,64,88,227,72,10,84,39,34,158,118,131,27,4,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,https://wsjkw.sh.gov.cn/xwfb/20220512/e16066c8aa164613b22f45fdf6f056cc.html
2022-05-10,1489,229,1260,0,0,0,0,7,607,8094,0,1487,228,1259,0,0,198,30,0,1259,0,607,8094,7,0,2,1,1,0,0,0,0,379,71,5641,5626,15,0,56383,50197,560,4595,4580,263,83,79,264,34,19,136,16,27,219,142,167,30,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,23,7,19,20,6,48,2,11,28,11,32,5,0,0,0,3,2,0,3,1,2,12,0,0,5,1,1,0,0,0,0,13,21,7,16,19,4,36,2,11,23,10,31,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,60,72,245,14,13,88,14,16,191,131,135,25,8,0,0,247,60,72,245,14,13,88,14,16,191,131,135,25,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://wsjkw.sh.gov.cn/xwfb/20220511/f7764ec9410548fea5ae785a5fc55af6.html
2022-05-09,3017,234,2783,0,0,0,0,6,847,7673,0,3014,234,2780,0,0,156,78,0,2775,5,847,7672,6,0,3,0,3,0,1,0,0,401,77,6026,6012,14,0,56155,49590,553,4594,4580,588,128,328,414,148,26,269,53,56,393,162,383,50,9,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,13,36,17,7,31,1,2,22,25,28,7,3,0,1,14,12,4,5,1,1,12,0,0,7,7,9,6,0,0,0,6,9,9,31,16,6,19,1,2,15,18,19,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568,107,315,378,131,19,238,52,54,371,137,355,43,6,1,5,567,107,315,377,130,19,238,52,53,370,137,355,43,6,1,5,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,https://wsjkw.sh.gov.cn/xwfb/20220510/b8a04958c7374bfd80730d04b5598414.html
2022-05-08,3950,324,3626,0,0,0,0,11,645,8069,0,3947,322,3625,0,0,230,92,0,3616,9,645,8069,11,0,3,2,1,0,0,0,0,415,80,6645,6631,14,0,55921,48743,547,4594,4580,692,306,225,502,136,40,317,77,49,620,332,576,49,16,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,22,9,60,27,13,54,7,1,38,25,18,5,3,2,4,19,7,4,7,1,3,16,2,0,16,8,6,3,0,0,0,15,15,5,53,26,10,38,5,1,22,17,12,2,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,658,284,216,442,109,27,263,70,48,582,307,558,44,13,2,2,656,283,216,442,109,22,263,70,48,581,307,558,44,13,2,2,2,1,0,0,0,5,0,0,0,1,0,0,0,0,0,0,https://wsjkw.sh.gov.cn/xwfb/20220509/c56970eb7ea14d49b8d3471b5d30156b.html
2022-05-07,3977,217,3760,0,0,0,0,8,941,9839,0,3975,215,3760,0,0,135,80,0,3749,11,941,9839,8,0,2,2,0,0,0,0,0,412,84,6977,6965,12,0,55599,48098,536,4592,4580,675,299,227,612,119,48,272,65,34,548,345,613,56,51,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,10,13,37,11,22,24,3,3,19,33,7,5,0,0,0,22,6,7,7,0,3,14,0,1,3,13,1,3,0,0,0,6,4,6,30,11,19,10,3,2,16,20,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647,289,214,575,108,26,248,62,31,529,312,606,51,51,0,11,641,288,213,575,108,26,247,62,31,529,312,606,51,51,0,9,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,https://wsjkw.sh.gov.cn/xwfb/20220508/281a217e0ae1483b859ef122acb1ad7d.html
2022-05-06,4214,253,3961,0,0,0,0,13,1664,11626,0,4214,253,3961,0,0,175,78,0,3943,18,1663,11626,13,0,0,0,0,1,0,0,0,464,87,7709,7699,10,0,55384,47157,528,4590,4580,584,330,309,627,201,27,279,71,169,484,502,425,77,100,8,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,19,28,60,3,5,17,7,3,16,21,30,5,1,3,2,19,7,10,16,0,3,6,1,2,1,3,7,2,0,0,1,14,12,18,44,3,2,11,6,1,15,18,23,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551,311,281,567,198,22,262,64,166,468,481,395,72,99,5,19,544,309,281,566,198,19,260,64,166,468,479,395,72,99,4,19,7,2,0,1,0,3,2,0,0,0,2,0,0,0,1,0,https://wsjkw.sh.gov.cn/xwfb/20220507/a37858696cff41e7beea194662fe4492.html
2022-05-05,4271,245,4026,0,0,0,0,12,1390,10407,0,4269,245,4024,0,0,181,64,0,4001,23,1390,10406,12,0,2,0,2,0,1,0,0,526,95,9133,9122,11,0,55131,45494,515,4590,4579,677,323,235,772,201,83,267,87,56,515,500,411,79,50,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,9,9,35,9,38,15,1,0,30,19,47,1,3,1,0,17,2,2,3,3,5,12,0,0,8,8,3,0,1,0,0,11,7,7,32,6,33,3,1,0,22,11,44,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649,314,226,737,192,45,252,86,56,485,481,364,78,47,1,11,645,313,226,733,192,41,251,84,56,483,479,362,78,47,1,10,4,1,0,4,0,4,1,2,0,2,2,2,0,0,0,1,https://wsjkw.sh.gov.cn/xwfb/20220506/c682814657024377a49c7bc5745847d4.html
2022-05-04,4653,263,4390,0,0,0,0,13,1739,13133,0,4651,261,4390,0,0,185,75,1,4357,33,1739,13133,13,0,2,2,0,0,0,0,0,512,99,10290,10279,11,0,54886,44104,503,4590,4579,889,330,285,775,215,92,326,121,70,545,459,393,91,56,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,13,25,21,4,55,16,5,4,20,19,24,3,1,1,0,23,5,3,3,0,10,11,0,0,9,5,4,2,0,0,0,27,8,22,18,4,44,5,5,4,11,14,20,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,839,317,260,754,211,37,310,116,66,525,440,369,88,55,2,1,837,315,260,742,210,35,307,110,66,524,436,369,88,55,2,1,2,2,0,12,1,2,3,6,0,1,4,0,0,0,0,0,https://wsjkw.sh.gov.cn/xwfb/20220505/ee4247315f3b472a81dbd312dfd37ad9.html
2022-05-03,4986,263,4723,0,0,0,0,16,1869,9573,0,4982,260,4722,0,0,151,108,1,4660,62,1869,9573,16,0,4,3,1,0,0,0,0,486,95,11779,11770,9,0,54625,42365,490,4588,4579,883,363,252,939,175,90,358,102,43,565,620,421,62,99,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,26,15,27,4,34,11,6,2,17,34,27,8,0,0,0,33,5,3,1,0,27,3,2,0,9,16,6,3,0,0,0,16,21,12,26,4,6,8,4,2,8,18,21,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,834,337,237,912,171,56,347,96,41,548,586,394,54,99,4,6,833,335,237,877,170,53,345,92,41,548,580,388,54,98,4,5,1,2,0,35,1,3,2,4,0,0,6,6,0,1,0,1,https://wsjkw.sh.gov.cn/xwfb/20220504/9f609ed5adbe4a59b67ad8512537609b.html
2022-05-02,5670,274,5396,0,0,0,0,20,3982,27124,0,5669,274,5395,0,0,155,117,2,5324,71,3981,27121,20,0,1,0,1,1,3,0,0,488,88,13401,13395,6,0,54365,40496,474,4585,4579,1162,417,287,974,279,68,366,151,94,616,636,388,79,135,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38,28,17,4,29,18,4,10,20,33,34,1,0,0,0,24,14,7,3,1,28,5,0,7,5,17,5,1,0,0,0,14,24,21,14,3,1,13,4,3,15,14,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1124,379,259,957,275,39,348,147,84,596,603,354,78,135,7,10,1122,376,259,914,275,39,348,141,84,594,591,354,78,134,7,8,2,3,0,43,0,0,0,6,0,2,12,0,0,1,0,2,https://wsjkw.sh.gov.cn/xwfb/20220503/a1722c75171d482b9fc63ae2b7906a07.html
